"county_code","date_id","Clinton","Trump","Stein","Johnson"
1001,1001,1.61,2.67,0.07,0.32
1003,1001,2.58,3.73,0.22,0.64
1005,1001,1.30,2.45,0.00,0.29
1007,1001,1.48,4.02,0.11,0.21
1009,1001,1.82,3.60,0.27,0.41
1011,1001,0.73,6.80,0.24,0.24
1013,1001,0.95,1.80,0.38,0.00
1015,1001,1.96,3.59,0.12,0.47
1017,1001,1.04,3.43,0.00,0.20
1019,1001,2.32,7.43,0.12,0.30
1021,1001,2.01,3.65,0.08,0.21
1023,1001,2.10,4.68,0.00,0.16
1025,1001,1.72,3.34,0.00,0.10
1027,1001,1.33,2.28,0.00,0.00
1029,1001,0.96,4.94,0.16,0.00
1031,1001,1.80,2.73,0.06,0.42
1033,1001,2.01,3.13,0.16,0.50
1035,1001,1.37,4.70,0.00,0.00
1037,1001,2.78,4.68,0.00,0.11
1039,1001,1.95,3.59,0.00,0.15
1041,1001,1.34,2.08,0.00,0.00
1043,1001,1.78,3.64,0.02,0.30
1045,1001,2.20,3.64,0.22,0.52
1047,1001,1.44,2.63,0.05,0.25
1049,1001,1.47,4.05,0.05,0.51
1051,1001,1.71,2.86,0.10,0.27
1053,1001,3.02,6.21,0.09,0.09
1055,1001,1.86,3.41,0.12,0.32
1057,1001,0.68,2.95,0.00,0.23
1059,1001,1.26,3.42,0.37,0.22
1061,1001,1.06,3.81,0.00,0.44
1063,1001,1.43,2.14,0.00,0.71
1065,1001,2.67,3.14,0.00,0.00
1067,1001,2.35,2.20,0.15,0.00
1069,1001,1.77,3.71,0.13,0.33
1071,1001,1.33,2.83,0.03,0.24
1073,1001,2.04,3.54,0.15,0.40
1075,1001,2.19,3.28,0.00,0.27
1077,1001,2.49,4.51,0.16,0.42
1079,1001,2.17,3.34,0.11,0.11
1081,1001,2.02,2.92,0.11,0.57
1083,1001,1.89,2.64,0.05,0.42
1085,1001,0.17,2.02,0.17,0.34
1087,1001,1.90,3.34,0.10,0.37
1089,1001,1.92,2.87,0.11,0.41
1091,1001,1.51,3.84,0.00,0.12
1093,1001,1.64,3.77,0.00,0.11
1095,1001,2.00,3.08,0.06,0.49
1097,1001,2.00,3.31,0.12,0.27
1099,1001,1.86,3.17,0.00,0.47
1101,1001,1.61,2.98,0.20,0.44
1103,1001,1.72,3.75,0.06,0.30
1105,1001,1.79,2.79,0.00,0.60
1107,1001,2.12,3.32,0.00,0.40
1109,1001,3.66,3.66,0.14,0.59
1111,1001,1.39,2.89,0.00,0.10
1113,1001,1.25,2.00,0.04,0.54
1115,1001,2.00,4.19,0.11,0.38
1117,1001,2.03,3.49,0.10,0.32
1119,1001,1.19,2.98,0.00,0.00
1121,1001,1.84,3.90,0.02,0.20
1123,1001,3.26,6.17,0.28,0.14
1125,1001,1.87,3.44,0.19,0.44
1127,1001,2.39,5.04,0.11,0.56
1129,1001,1.72,3.15,0.00,0.14
1131,1001,0.93,2.79,0.00,0.00
1133,1001,2.19,4.98,0.08,0.60
2013,1001,0.00,0.00,0.00,0.00
2016,1001,0.87,1.39,0.00,0.87
2020,1001,1.58,2.76,0.17,0.49
2050,1001,1.38,2.90,0.00,0.14
2060,1001,0.00,0.00,0.00,0.00
2068,1001,2.17,2.17,0.43,0.43
2070,1001,2.63,7.89,0.00,0.00
2090,1001,1.56,3.22,0.21,0.53
2100,1001,0.00,3.12,0.00,0.00
2110,1001,1.14,2.10,0.28,0.34
2122,1001,1.80,2.61,0.12,0.39
2130,1001,0.00,0.00,0.00,0.00
2150,1001,1.19,3.47,0.00,0.54
2164,1001,0.00,0.00,0.00,0.00
2170,1001,2.06,3.00,0.10,1.23
2180,1001,3.27,2.34,0.00,0.93
2185,1001,1.81,3.11,0.52,0.26
2188,1001,3.59,4.38,0.00,1.20
2201,1001,2.79,3.12,0.07,0.60
2220,1001,1.25,3.19,0.00,0.34
2232,1001,0.00,1.56,0.00,0.00
2240,1001,1.37,0.91,0.46,0.00
2261,1001,3.09,3.73,0.00,0.39
2270,1001,0.00,0.00,0.00,0.00
2280,1001,1.38,3.10,0.69,0.34
2282,1001,0.00,0.00,0.00,0.00
2290,1001,1.25,2.27,0.02,0.52
4001,1001,1.12,2.15,0.12,0.12
4003,1001,1.87,3.05,0.12,0.53
4005,1001,1.66,3.10,0.13,0.54
4007,1001,1.41,3.48,0.15,0.57
